Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score
Djibouti,DJI,2020.0,-0.7413479,-0.6767254,-0.3183765,-0.8114574,-1.011851,-1.420494
Dominica,DMA,2016.0,0.6250263,0.0541444,1.002438,0.1990751,0.6063661,0.8994573
Dominica,DMA,2017.0,0.6318206,-0.2626715,1.198149,0.1290447,0.6130303,0.8848282
Dominica,DMA,2018.0,0.5402709,-0.2776328,1.096157,0.0760054,0.6639392,0.7876834
Dominica,DMA,2019.0,0.5258992,-0.2623335,1.067457,0.1002118,0.6875657,0.868843
Dominica,DMA,2020.0,0.5562857,-0.1795864,1.346246,0.1959981,0.7405058,0.878063
Dominican Republic,DOM,2016.0,-0.7562392,-0.2638971,0.252106,-0.065245,-0.3952907,0.1819112
Dominican Republic,DOM,2017.0,-0.7402246,-0.3719791,0.1605885,-0.0779919,-0.4208526,0.1592211
Dominican Republic,DOM,2018.0,-0.7541672,-0.3971497,0.0239203,-0.0690279,-0.3792768,0.1143047
Dominican Republic,DOM,2019.0,-0.7660196,-0.358091,0.0053069,-0.0541752,-0.3475938,0.1774002
Dominican Republic,DOM,2020.0,-0.6808228,-0.3307422,0.1674334,-0.0137688,-0.2641793,0.2215259
Ecuador,ECU,2016.0,-0.6801937,-0.4304732,-0.085358,-1.018454,-0.7614435,-0.247168
Ecuador,ECU,2017.0,-0.6216223,-0.3996413,-0.0748539,-1.059981,-0.8107955,-0.1721459
Ecuador,ECU,2018.0,-0.5629483,-0.2637541,-0.0892777,-0.8687586,-0.6387975,-0.0012729
Ecuador,ECU,2019.0,-0.4865913,-0.3996101,-0.2329569,-0.8239056,-0.5774394,0.0371193
Ecuador,ECU,2020.0,-0.5359893,-0.4388475,-0.3646331,-0.8860091,-0.5481316,0.0167155
"Egypt, Arab Rep.",EGY,2016.0,-0.6445939,-0.6596709,-1.437697,-0.9231897,-0.5174581,-1.204502
"Egypt, Arab Rep.",EGY,2017.0,-0.536476,-0.6207942,-1.424527,-0.8604551,-0.543798,-1.251246
"Egypt, Arab Rep.",EGY,2018.0,-0.5604438,-0.5800367,-1.180049,-0.8642277,-0.4142864,-1.328003
"Egypt, Arab Rep.",EGY,2019.0,-0.6697238,-0.4244061,-1.114192,-0.8277446,-0.4209398,-1.445306
"Egypt, Arab Rep.",EGY,2020.0,-0.8136714,-0.545122,-1.207361,-0.6885961,-0.3598008,-1.488731
El Salvador,SLV,2016.0,-0.5229223,-0.2851965,-0.0992914,0.0939717,-0.7096999,0.18895
El Salvador,SLV,2017.0,-0.5018553,-0.321602,-0.2600434,1.28E-06,-0.8105645,0.1544337
El Salvador,SLV,2018.0,-0.5969757,-0.447729,-0.3876885,0.0345772,-0.8254345,0.0170948
El Salvador,SLV,2019.0,-0.5550387,-0.4654183,-0.1064181,0.02156,-0.7623366,0.1141755
El Salvador,SLV,2020.0,-0.5919448,-0.3564937,-0.024204,-0.0192273,-0.7608628,0.0362371
Equatorial Guinea,GNQ,2016.0,-1.805687,-1.408003,-0.1408686,-1.380239,-1.516142,-1.949172
Equatorial Guinea,GNQ,2017.0,-1.815811,-1.438307,-0.1704531,-1.391826,-1.480927,-1.972162
Equatorial Guinea,GNQ,2018.0,-1.705315,-1.45561,-0.0923802,-1.495596,-1.516192,-1.875924
Equatorial Guinea,GNQ,2019.0,-1.722103,-1.3432,-0.1562198,-1.5199,-1.422766,-1.878097
Equatorial Guinea,GNQ,2020.0,-1.685068,-1.471354,-0.1922405,-1.549407,-1.253869,-1.83182
Eritrea,ERI,2016.0,-1.306542,-1.69607,-0.6569121,-2.186823,-1.625368,-2.169759
Eritrea,ERI,2017.0,-1.201147,-1.711882,-0.729676,-2.191784,-1.557995,-2.165504
Eritrea,ERI,2018.0,-1.30995,-1.723037,-0.6058792,-2.217407,-1.580166,-2.185477
Eritrea,ERI,2019.0,-1.394938,-1.757077,-0.6984926,-2.275069,-1.595472,-2.206151
Eritrea,ERI,2020.0,-1.326432,-1.616785,-0.9844248,-2.335106,-1.47162,-2.076875
Estonia,EST,2016.0,1.272368,1.090463,0.6739078,1.698142,1.226433,1.208047
Estonia,EST,2017.0,1.245324,1.111729,0.6497754,1.645036,1.285828,1.214439
Estonia,EST,2018.0,1.50561,1.190437,0.5873927,1.55177,1.240728,1.179301
Estonia,EST,2019.0,1.561715,1.174428,0.6332563,1.591255,1.281483,1.181098
Estonia,EST,2020.0,1.61278,1.343336,0.7101202,1.535388,1.382246,1.171272
Eswatini,SWZ,2016.0,-0.4499788,-0.5785232,-0.4887168,-0.5762869,-0.3686543,-1.429628
Eswatini,SWZ,2017.0,-0.2696787,-0.5425783,-0.2670258,-0.5596761,-0.2884077,-1.448833
Eswatini,SWZ,2018.0,-0.3604255,-0.6700686,-0.3734438,-0.6556215,-0.2824021,-1.372091
Eswatini,SWZ,2019.0,-0.4902496,-0.6789486,-0.2745529,-0.6122754,-0.5019525,-1.338382
Eswatini,SWZ,2020.0,-0.4552509,-0.7685032,-0.1187483,-0.5570649,-0.5307466,-1.327599
Ethiopia,ETH,2016.0,-0.416919,-0.6384845,-1.619813,-1.101313,-0.492503,-1.402079
Ethiopia,ETH,2017.0,-0.5587956,-0.6928545,-1.679859,-1.004292,-0.4559003,-1.432209
Ethiopia,ETH,2018.0,-0.4833753,-0.6104851,-1.279617,-0.9730066,-0.428142,-1.165882
Ethiopia,ETH,2019.0,-0.4061424,-0.6343808,-1.305073,-0.8888674,-0.4733813,-1.064605
Ethiopia,ETH,2020.0,-0.3623945,-0.5520683,-1.738457,-0.9574109,-0.3977932,-1.017297
Fiji,FJI,2016.0,0.130379,-0.2490013,0.917815,-0.3770984,-0.2745952,0.0285497
Fiji,FJI,2017.0,0.3450749,0.0698404,0.619655,-0.223414,-0.2647003,0.1228353
Fiji,FJI,2018.0,0.3971153,0.2850353,0.862233,-0.2294028,-0.1363209,0.1304683
Fiji,FJI,2019.0,0.5589681,0.1996178,0.7776704,-0.2190849,-0.0251812,0.0214153
Fiji,FJI,2020.0,0.6391488,0.3018749,0.7479544,-0.1703498,0.1097826,0.0341039
Finland,FIN,2016.0,2.233331,1.877939,0.9990865,1.817408,2.049946,1.531794
Finland,FIN,2017.0,2.211039,2.018676,1.080909,1.823055,2.069357,1.559358
Finland,FIN,2018.0,2.211138,2.055259,0.908359,1.78569,2.079443,1.576928
Finland,FIN,2019.0,2.1532,2.006594,0.8516567,1.851164,2.058016,1.564906
Finland,FIN,2020.0,2.204168,1.948935,0.9446252,1.854752,2.078883,1.615212
France,FRA,2016.0,1.370064,1.416434,-0.0953591,1.070323,1.386726,1.136473
France,FRA,2017.0,1.266991,1.348091,0.2790776,1.15951,1.436407,1.152415
France,FRA,2018.0,1.317642,1.458658,0.0291557,1.156292,1.434449,1.146513
France,FRA,2019.0,1.283251,1.37214,0.2993822,1.440412,1.407695,1.116438
France,FRA,2020.0,1.153109,1.247808,0.3125098,1.195966,1.327411,1.06943
French Guiana,GUF,2016.0,0.9750836,1.127457,0.5509571,1.428803,1.308454,1.279368
French Guiana,GUF,2017.0,0.998673,1.379737,0.4997613,1.282006,1.199849,1.295541
French Guiana,GUF,2018.0,0.9530863,1.396483,0.5206324,1.30502,1.210485,1.271613
French Guiana,GUF,2019.0,0.9196092,1.387043,0.2612188,1.31416,1.166119,1.264411
French Guiana,GUF,2020.0,0.929781,1.320387,0.3325475,1.185055,1.197893,1.289108
Gabon,GAB,2016.0,-0.7531746,-0.792168,-0.104911,-0.7979104,-0.6047214,-0.9669695
Gabon,GAB,2017.0,-0.8207155,-0.9220088,-0.1030248,-0.7849124,-0.6835737,-1.05922
Gabon,GAB,2018.0,-0.8539096,-0.8094349,-0.2538044,-0.9160169,-0.7040743,-0.9661632
Gabon,GAB,2019.0,-0.9329059,-0.897824,-0.0742617,-0.9569007,-0.7327159,-1.049209
Gabon,GAB,2020.0,-0.9244228,-0.9099023,-0.0771416,-0.8784322,-0.6654624,-0.9939862
"Gambia, The",GMB,2016.0,-0.8119048,-0.8420404,-0.4344123,-0.5093247,-0.77466,-1.262813
"Gambia, The",GMB,2017.0,-0.6267126,-0.6464027,-0.0840129,-0.4470356,-0.4381409,-0.6222699
"Gambia, The",GMB,2018.0,-0.4565488,-0.6198659,-0.074431,-0.6294979,-0.4305807,-0.222066
"Gambia, The",GMB,2019.0,-0.3000943,-0.6311047,0.2247214,-0.6648403,-0.3714375,-0.2387179
"Gambia, The",GMB,2020.0,-0.3428272,-0.6720108,0.2453408,-0.6875781,-0.3659326,-0.2009927
Georgia,GEO,2016.0,0.6854092,0.5179425,-0.3132915,1.008661,0.3836238,0.2952145
Georgia,GEO,2017.0,0.7407625,0.5757037,-0.3707961,1.051975,0.3208365,0.2647963
Georgia,GEO,2018.0,0.7094994,0.611771,-0.4415736,1.125411,0.3277741,0.2208919
Georgia,GEO,2019.0,0.7007192,0.8287399,-0.4883826,1.121732,0.3104377,0.1687202
Georgia,GEO,2020.0,0.5959197,0.787501,-0.4307931,1.108767,0.2859657,0.0554018
Germany,DEU,2016.0,1.826143,1.696212,0.6813634,1.817016,1.621759,1.364375
Germany,DEU,2017.0,1.843528,1.65318,0.5877215,1.786195,1.614979,1.432262
Germany,DEU,2018.0,1.936917,1.562705,0.5912753,1.762925,1.631583,1.431259
Germany,DEU,2019.0,1.903284,1.531162,0.5743086,1.72319,1.620687,1.355591
Germany,DEU,2020.0,1.858251,1.360798,0.6710114,1.582715,1.557932,1.377576
Ghana,GHA,2016.0,-0.1489119,-0.1685113,-0.1309286,-0.2325097,0.0487039,0.5854982
Ghana,GHA,2017.0,-0.2321948,-0.1118706,0.0918345,-0.1366017,0.1233095,0.5982543
Ghana,GHA,2018.0,-0.1214553,-0.2085409,-0.0255168,-0.0945598,0.0730976,0.5498551
Ghana,GHA,2019.0,-0.0980888,-0.2106433,0.1344119,-0.111198,0.0473358,0.5579075
Ghana,GHA,2020.0,-0.1155107,-0.1526524,0.1258658,0.0001739,-0.0386941,0.5831697
Greece,GRC,2016.0,-0.1016083,0.1577258,-0.1215992,0.1483869,0.1353244,0.6685553
Greece,GRC,2017.0,-0.0790209,0.274148,-0.0735726,0.2400272,0.0749528,0.658486
Greece,GRC,2018.0,-0.0252081,0.2907973,0.1659438,0.4137779,0.13928,0.7323087
Greece,GRC,2019.0,0.0431178,0.3490244,0.1817382,0.5299369,0.1837852,0.8124003
Greece,GRC,2020.0,0.0598671,0.4444801,0.1251008,0.5500144,0.3202699,0.96592
Greenland,GRL,2016.0,1.1671,0.8425272,1.965062,1.334686,1.723742,1.279368
Greenland,GRL,2017.0,1.185811,0.8405358,1.923353,1.324179,1.726132,1.295541
Greenland,GRL,2018.0,1.174985,0.8363734,1.929881,1.368418,1.738521,1.271613
Greenland,GRL,2019.0,1.140772,0.8134989,1.883894,1.36094,1.746319,1.264411
Greenland,GRL,2020.0,1.034216,0.7990792,1.913187,1.383762,1.741479,1.289108
Grenada,GRD,2016.0,0.5639562,-0.1752158,1.018932,0.084025,0.5689524,0.8170967
Grenada,GRD,2017.0,0.4576816,-0.1874954,1.009161,-0.0537086,0.413209,0.7443076
Grenada,GRD,2018.0,0.3715164,-0.2364549,0.9854752,-0.2970077,0.2237961,0.4933713
Grenada,GRD,2019.0,0.3393368,-0.1374281,0.9535552,-0.3141913,0.1767789,0.6805683
Grenada,GRD,2020.0,0.3571173,-0.0654131,1.034534,-0.1702272,0.2926352,0.6922625
Guam,GUM,2016.0,1.228804,0.2652237,0.6752751,0.1366879,1.102981,..
Guam,GUM,2017.0,1.245126,0.2869365,0.699833,0.1130226,1.361758,..
Guam,GUM,2018.0,1.239041,0.2706605,0.6994919,0.083821,1.364065,1.14529
Guam,GUM,2019.0,1.234696,0.2690927,0.8925463,0.0823676,1.335337,1.114814
Guam,GUM,2020.0,1.314374,0.6968508,0.936887,0.542098,1.193629,0.929563
Guatemala,GTM,2016.0,-0.7396853,-0.6065266,-0.5425926,-0.2024315,-1.020066,-0.2903427
Guatemala,GTM,2017.0,-0.7411317,-0.6391509,-0.6506749,-0.2546685,-1.057874,-0.2796066
Guatemala,GTM,2018.0,-0.817149,-0.6802149,-0.5383536,-0.1895691,-1.035944,-0.3626967
Guatemala,GTM,2019.0,-0.9007233,-0.6769783,-0.5735922,-0.2246763,-1.052349,-0.3354709
Guatemala,GTM,2020.0,-1.095947,-0.6874367,-0.4291327,-0.1747904,-1.053237,-0.3872769
Guinea,GIN,2016.0,-0.9188131,-1.005932,-0.3938748,-0.8676737,-1.216319,-0.7592747
Guinea,GIN,2017.0,-1.012782,-1.034547,-0.7009969,-0.8362353,-1.226821,-0.738005
Guinea,GIN,2018.0,-1.042321,-0.9693156,-0.8840864,-0.7780746,-1.208481,-0.7732198
Guinea,GIN,2019.0,-0.911032,-0.7789667,-0.8432462,-0.7695868,-1.20907,-0.7684538
Guinea,GIN,2020.0,-0.9678046,-0.8943251,-0.6370652,-0.8336266,-1.263659,-0.9223381
Guinea-Bissau,GNB,2016.0,-1.552118,-1.642972,-0.4426939,-1.235827,-1.487089,-0.7331135
Guinea-Bissau,GNB,2017.0,-1.558522,-1.760056,-0.4986393,-1.179392,-1.423981,-0.796982
Guinea-Bissau,GNB,2018.0,-1.519404,-1.473266,-0.6855602,-1.20156,-1.232103,-0.6876005
Guinea-Bissau,GNB,2019.0,-1.453402,-1.515093,-0.5580111,-1.232575,-1.264169,-0.4800229
Guinea-Bissau,GNB,2020.0,-1.319101,-1.431687,-0.598215,-1.263349,-1.364821,-0.4710643
Guyana,GUY,2016.0,-0.3244398,-0.3017042,-0.0260627,-0.4165162,-0.3092433,0.2535969
Guyana,GUY,2017.0,-0.5103616,-0.2977009,-0.0430738,-0.3920297,-0.2938785,0.2777978
Guyana,GUY,2018.0,-0.2227802,-0.2614504,-0.1877606,-0.5476355,-0.3725958,0.2156686
Guyana,GUY,2019.0,-0.1129527,-0.3868118,-0.2464192,-0.621398,-0.4311567,0.2551636
Guyana,GUY,2020.0,-0.1497357,-0.4381699,-0.1459536,-0.550658,-0.425237,0.2148667
Haiti,HTI,2016.0,-1.331458,-2.078399,-0.7437881,-1.238312,-1.002219,-0.7593951
Haiti,HTI,2017.0,-1.238367,-2.057976,-0.6744812,-1.314021,-1.084979,-0.7370054
Haiti,HTI,2018.0,-1.275526,-1.905055,-0.6397613,-1.261063,-1.052376,-0.75751
Haiti,HTI,2019.0,-1.339134,-2.01491,-0.891515,-1.259841,-0.9713579,-0.746346
Haiti,HTI,2020.0,-1.319874,-2.033819,-1.043329,-1.214759,-1.036246,-0.8427454
Honduras,HND,2016.0,-0.6576432,-0.7264652,-0.4333121,-0.513028,-1.118942,-0.4381704
Honduras,HND,2017.0,-0.7189602,-0.5083557,-0.5649181,-0.4349952,-1.044247,-0.4401779
Honduras,HND,2018.0,-0.6142679,-0.6185808,-0.5307975,-0.4489721,-1.028927,-0.530851
Honduras,HND,2019.0,-0.8119133,-0.6119988,-0.5751516,-0.4932474,-1.009133,-0.5727262
Honduras,HND,2020.0,-0.8577685,-0.5959823,-0.5446041,-0.4955445,-0.9583805,-0.603004
"Hong Kong SAR, China",HKG,2016.0,1.561693,1.841636,0.7508071,2.153887,1.722995,0.3772678
"Hong Kong SAR, China",HKG,2017.0,1.618103,1.905391,0.8294839,2.166828,1.722528,0.4282603
"Hong Kong SAR, China",HKG,2018.0,1.675505,1.902525,0.7835555,2.226014,1.7715,0.4400779
"Hong Kong SAR, China",HKG,2019.0,1.690355,1.740746,-0.222178,1.983565,1.604442,0.1269743
"Hong Kong SAR, China",HKG,2020.0,1.649827,1.662403,0.0922063,1.787972,1.590243,0.0384611
Hungary,HUN,2016.0,0.105939,0.5014192,0.6546786,0.6034219,0.4388936,0.4020373
Hungary,HUN,2017.0,0.1253053,0.527887,0.806563,0.6519235,0.5663263,0.5369374
Hungary,HUN,2018.0,0.0865242,0.4900576,0.7471759,0.57471,0.5846309,0.4784307
Hungary,HUN,2019.0,0.0600961,0.4960532,0.7721581,0.6035496,0.526654,0.3439764
Hungary,HUN,2020.0,0.0974263,0.5809025,0.863838,0.4816817,0.5128838,0.3898624
Iceland,ISL,2016.0,1.949479,1.385293,1.361624,1.276847,1.519659,1.356115
Iceland,ISL,2017.0,1.841453,1.453182,1.348309,1.434839,1.611072,1.379179
Iceland,ISL,2018.0,1.843773,1.464315,1.40639,1.41555,1.719837,1.377631
Iceland,ISL,2019.0,1.708176,1.51794,1.639301,1.3731,1.767259,1.303974
Iceland,ISL,2020.0,1.699824,1.523776,1.394177,1.448037,1.79911,1.386304
India,IND,2016.0,-0.2821474,0.0749455,-0.9538398,-0.306505,-0.0289695,0.4409836
India,IND,2017.0,-0.2419506,0.0868715,-0.7648019,-0.2529919,-0.0012233,0.3870479
India,IND,2018.0,-0.1834787,0.2842539,-0.9870132,-0.2273288,0.0256504,0.3519836
India,IND,2019.0,-0.2540472,0.1708809,-0.7708004,-0.1609437,-0.0304647,0.2690398
India,IND,2020.0,-0.2448308,0.3865438,-0.8619818,-0.1377745,-0.0177096,0.1498907
Indonesia,IDN,2016.0,-0.3992099,0.0074111,-0.3729524,-0.1223439,-0.3448857,0.1679469
Indonesia,IDN,2017.0,-0.2548542,0.0383757,-0.4979034,-0.1051562,-0.349676,0.131601
Indonesia,IDN,2018.0,-0.2497392,0.1805828,-0.5459081,-0.1469696,-0.315493,0.1543517
Indonesia,IDN,2019.0,-0.4160329,0.1820512,-0.4934046,-0.0943936,-0.3424213,0.1321091
Indonesia,IDN,2020.0,-0.3974239,0.3691624,-0.5002089,0.0776586,-0.3387444,0.0996764
"Iran, Islamic Rep.",IRN,2016.0,-0.7112541,-0.1916113,-0.8130754,-1.229369,-0.6791943,-1.343026
"Iran, Islamic Rep.",IRN,2017.0,-0.8102323,-0.1960938,-0.934016,-1.198042,-0.6824429,-1.299892
"Iran, Islamic Rep.",IRN,2018.0,-0.9572915,-0.4326732,-1.347935,-1.375782,-0.6935208,-1.334078
"Iran, Islamic Rep.",IRN,2019.0,-1.047168,-0.5537257,-1.706922,-1.423213,-0.7496018,-1.38697
"Iran, Islamic Rep.",IRN,2020.0,-1.085447,-0.9893743,-1.667853,-1.458911,-0.8671182,-1.480663
Iraq,IRQ,2016.0,-1.386793,-1.267562,-2.313588,-1.125068,-1.6259,-1.015599
Iraq,IRQ,2017.0,-1.372427,-1.261061,-2.307103,-1.200509,-1.629295,-1.047284
Iraq,IRQ,2018.0,-1.394506,-1.30951,-2.528422,-1.167922,-1.753651,-1.004161
Iraq,IRQ,2019.0,-1.336654,-1.336643,-2.603781,-1.180387,-1.722623,-0.9644449
Iraq,IRQ,2020.0,-1.283775,-1.32672,-2.528343,-1.376893,-1.753684,-1.009963
Ireland,IRL,2016.0,1.692659,1.364627,0.8478189,1.740965,1.502176,1.291039
Ireland,IRL,2017.0,1.573725,1.306135,1.002435,1.588018,1.418789,1.294556
Ireland,IRL,2018.0,1.571588,1.416743,1.021112,1.627818,1.450442,1.284349
Ireland,IRL,2019.0,1.494599,1.291792,0.9663891,1.602042,1.383474,1.305089
Ireland,IRL,2020.0,1.566898,1.480219,0.9751874,1.473795,1.498885,1.39423
Israel,ISR,2016.0,1.186837,1.345055,-0.7945364,1.31263,1.072231,0.7866638
Israel,ISR,2017.0,0.8293291,1.388274,-0.887956,1.274343,1.024877,0.6972239
Israel,ISR,2018.0,0.7872222,1.206716,-0.9116703,1.24631,0.9940096,0.6214112
Israel,ISR,2019.0,0.8063501,1.325325,-0.7933716,1.281105,1.047764,0.6601397
Israel,ISR,2020.0,0.5657755,1.096137,-0.8282074,1.24164,0.9973904,0.6552317
Italy,ITA,2016.0,0.1159535,0.5785035,0.3694153,0.7105919,0.3939919,1.034976
Italy,ITA,2017.0,0.2109731,0.527819,0.3068212,0.7062215,0.3488251,0.9906023
Italy,ITA,2018.0,0.2476841,0.4415723,0.3423838,0.7260119,0.2688292,0.9533946
Italy,ITA,2019.0,0.2645699,0.4831744,0.4043851,0.9550502,0.3032814,0.9066437
Italy,ITA,2020.0,0.5389154,0.4003631,0.4400665,0.5030249,0.2409934,1.057024
Jamaica,JAM,2016.0,-0.1589583,0.4119149,0.3076839,0.1638434,-0.203386,0.6813211
Jamaica,JAM,2017.0,-0.1753761,0.4723314,0.3092474,0.1452674,-0.161473,0.6911505
Jamaica,JAM,2018.0,-0.1802417,0.5039046,0.432927,0.2019037,-0.2317268,0.5843438
Jamaica,JAM,2019.0,-0.0727176,0.4939841,0.3973095,0.1675474,-0.3124554,0.6142891
Jamaica,JAM,2020.0,-0.0074757,0.4144205,0.2707812,0.0893666,-0.2373807,0.6265474
Japan,JPN,2016.0,1.524966,1.821532,0.9829442,1.428122,1.421093,0.9836274
Japan,JPN,2017.0,1.525538,1.619905,1.112167,1.376554,1.57062,1.003693
Japan,JPN,2018.0,1.425326,1.674601,1.049072,1.342974,1.53421,0.9844933
Japan,JPN,2019.0,1.4672,1.586322,1.031847,1.32707,1.538249,0.9313421
Japan,JPN,2020.0,1.49587,1.596166,1.038876,1.353819,1.525137,0.9876988
"Jersey, Channel Islands",JEY,2016.0,1.140734,1.268496,1.318669,0.6987037,1.723742,1.279368
"Jersey, Channel Islands",JEY,2017.0,1.169131,1.265191,1.273878,0.6827301,1.726132,1.295541
"Jersey, Channel Islands",JEY,2018.0,1.102882,1.25849,1.264784,0.7143798,1.738521,1.271613
"Jersey, Channel Islands",JEY,2019.0,1.044043,1.237183,1.280697,0.9228272,1.746319,1.264411
"Jersey, Channel Islands",JEY,2020.0,1.034216,1.221135,1.336372,0.9422368,1.741479,1.289108
Jordan,JOR,2016.0,0.2653728,0.1335435,-0.4923984,0.0516795,0.3042523,-0.7111135
Jordan,JOR,2017.0,0.2495352,0.0935696,-0.4516253,0.0671736,0.2985938,-0.7210127
Jordan,JOR,2018.0,0.1505628,0.114904,-0.3888326,0.0274591,0.2318894,-0.7238086
Jordan,JOR,2019.0,0.1082933,0.098672,-0.2619681,0.034222,0.1442419,-0.6945903
Jordan,JOR,2020.0,0.0704442,0.1147702,-0.3221407,0.2255307,0.2124759,-0.7505696
Kazakhstan,KAZ,2016.0,-0.8165768,-0.0672612,0.0084575,-0.0997007,-0.4352354,-1.205579
Kazakhstan,KAZ,2017.0,-0.820714,0.0036757,0.0288013,0.1709108,-0.4140919,-1.247189
Kazakhstan,KAZ,2018.0,-0.4953896,0.0217261,-0.0452636,0.1237323,-0.4295568,-1.211343
Kazakhstan,KAZ,2019.0,-0.30519,0.1240962,-0.1684883,0.1369649,-0.4321694,-1.230227
Kazakhstan,KAZ,2020.0,-0.3914681,0.1555083,-0.2600716,0.1395519,-0.3961428,-1.18816
Kenya,KEN,2016.0,-0.8926454,-0.3251143,-1.354791,-0.3003297,-0.4406989,-0.1130232
Kenya,KEN,2017.0,-0.9550214,-0.3195153,-1.131922,-0.2316267,-0.4156587,-0.1977406
Kenya,KEN,2018.0,-0.8510734,-0.4115029,-1.184091,-0.2248414,-0.411006,-0.3804235
Kenya,KEN,2019.0,-0.7865493,-0.3833902,-1.101751,-0.2769634,-0.4542259,-0.3126482
Kenya,KEN,2020.0,-0.8553775,-0.3543688,-1.003641,-0.4419633,-0.5577266,-0.3399551
Kiribati,KIR,2016.0,0.2496047,-0.4339803,0.8732361,-0.8390459,0.2362976,1.004908
Kiribati,KIR,2017.0,0.3631015,-0.2675972,0.8814256,-0.8283504,0.4754284,1.047755
Kiribati,KIR,2018.0,0.3398819,-0.2469959,1.023675,-0.7787298,0.4763226,1.112811
Kiribati,KIR,2019.0,0.3708637,-0.2388186,1.128833,-0.6233603,0.7393795,1.065825
Kiribati,KIR,2020.0,0.4503273,-0.1362213,1.081049,-0.5734185,0.8797514,1.128981
"Korea, Dem. People's Rep.",PRK,2016.0,-1.439704,-1.626809,-0.6807607,-2.331718,-1.669889,-2.180352
"Korea, Dem. People's Rep.",PRK,2017.0,-1.480158,-1.671529,-0.5021606,-2.340901,-1.716182,-2.203244
"Korea, Dem. People's Rep.",PRK,2018.0,-1.564428,-1.575888,-0.347793,-2.360641,-1.634471,-2.212071
"Korea, Dem. People's Rep.",PRK,2019.0,-1.58845,-1.396965,-0.3175711,-2.396936,-1.651893,-2.207623
"Korea, Dem. People's Rep.",PRK,2020.0,-1.680005,-1.463741,-0.3980415,-2.339893,-1.603,-2.158605
"Korea, Rep.",KOR,2016.0,0.4569813,1.063653,0.163469,1.114325,1.160903,0.6415861
"Korea, Rep.",KOR,2017.0,0.4832031,1.075108,0.385621,1.107531,1.167174,0.7572567
"Korea, Rep.",KOR,2018.0,0.6063476,1.181159,0.6370728,1.102432,1.236651,0.7868221
"Korea, Rep.",KOR,2019.0,0.7374385,1.376088,0.5512064,1.069908,1.194278,0.7514849
"Korea, Rep.",KOR,2020.0,0.7280666,1.415869,0.5591969,1.033297,1.183163,0.8158123
Kosovo,XKX,2016.0,-0.4146265,-0.4174704,-0.282407,-0.1888688,-0.3503119,-0.148765
Kosovo,XKX,2017.0,-0.5077723,-0.3990432,-0.2460999,-0.1341557,-0.4250557,-0.1155046
Kosovo,XKX,2018.0,-0.5128755,-0.4239178,-0.673299,-0.3233016,-0.3712626,-0.1445212
Kosovo,XKX,2019.0,-0.5264361,-0.3498967,-0.3316903,-0.3465151,-0.3928607,-0.1154135
Kosovo,XKX,2020.0,-0.4463966,-0.3188467,-0.3075437,-0.2945844,-0.3857102,-0.1644618
Kuwait,KWT,2016.0,-0.2680979,-0.1637339,-0.0496832,-0.073882,0.0278456,-0.6289104
Kuwait,KWT,2017.0,-0.3297042,-0.1752014,-0.0458655,-0.0605019,0.103409,-0.6070536
Kuwait,KWT,2018.0,-0.2882378,-0.0900602,0.1015981,0.0255093,0.210846,-0.6103786
Kuwait,KWT,2019.0,-0.1321924,0.0182124,0.1926405,0.06495,0.2156609,-0.655255
Kuwait,KWT,2020.0,-0.064645,-0.1582288,0.23795,0.2879493,0.3317031,-0.6801625
Kyrgyz Republic,KGZ,2016.0,-1.079152,-0.8957096,-0.6468619,-0.3526321,-1.023083,-0.4186765
Kyrgyz Republic,KGZ,2017.0,-1.056221,-0.7085057,-0.375253,-0.3495833,-0.9245595,-0.4308959
Kyrgyz Republic,KGZ,2018.0,-0.9493044,-0.6072606,-0.5388672,-0.3527106,-0.9044659,-0.3572986
Kyrgyz Republic,KGZ,2019.0,-0.9495352,-0.6816202,-0.2417716,-0.3474807,-0.8861678,-0.4542003
Kyrgyz Republic,KGZ,2020.0,-1.110902,-0.5401577,-0.4277135,-0.4046249,-0.9265748,-0.5941642
Lao PDR,LAO,2016.0,-0.952299,-0.3983734,0.5322913,-0.7248681,-0.7960193,-1.759197
Lao PDR,LAO,2017.0,-0.9369708,-0.3854913,0.3966877,-0.7200474,-0.8810804,-1.751465
Lao PDR,LAO,2018.0,-0.9758381,-0.6694068,0.4081254,-0.7734566,-0.8390376,-1.752665
Lao PDR,LAO,2019.0,-1.05815,-0.7853428,0.5163149,-0.7129982,-0.9408555,-1.816531
Lao PDR,LAO,2020.0,-1.068325,-0.7660105,0.6778482,-0.8009471,-0.8496245,-1.795886
Latvia,LVA,2016.0,0.4312085,1.004884,0.4790692,1.080243,0.9590222,0.8425509
Latvia,LVA,2017.0,0.5382369,0.9060058,0.4622171,1.157015,0.9347311,0.7974426
Latvia,LVA,2018.0,0.3294219,1.041863,0.4073735,1.142373,0.9570854,0.7824228
Latvia,LVA,2019.0,0.5117261,1.104713,0.4434652,1.192789,1.014091,0.8571491
Latvia,LVA,2020.0,0.7226007,0.8822721,0.4600297,1.187873,0.9567372,0.8720494
Lebanon,LBN,2016.0,-0.9650525,-0.5386534,-1.618973,-0.3431615,-0.8306962,-0.5196985
